City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
136,Vao,NC,2021-01-07 21:31:18,-22.6667,167.4833,79.72,85,94,19.77,overcast clouds
137,Ordynskoye,RU,2021-01-07 21:31:18,54.3656,81.8994,-7.08,89,100,1.59,overcast clouds
138,White Rock,CA,2021-01-07 21:30:06,49.0164,-122.8026,46.99,84,100,1.01,overcast clouds
139,Khilok,RU,2021-01-07 21:31:19,51.3674,110.4676,-4.54,87,100,11.63,light snow
140,Porbandar,IN,2021-01-07 21:31:19,21.6422,69.6093,62.8,55,0,13.71,clear sky
141,Ronneby,SE,2021-01-07 21:26:35,56.21,15.276,32.0,100,90,8.05,light snow
142,Alofi,NU,2021-01-07 21:31:19,-19.0595,-169.9187,84.2,79,75,8.05,moderate rain
143,Umm Lajj,SA,2021-01-07 21:30:31,25.0213,37.2685,74.95,55,0,8.93,clear sky
144,Chaplynka,UA,2021-01-07 21:31:20,46.3651,33.5403,43.92,79,100,13.47,overcast clouds
145,Tarakan,ID,2021-01-07 21:31:20,3.3,117.6333,75.2,100,90,11.5,overcast clouds
146,Santa Maria,BR,2021-01-07 21:31:20,-29.6842,-53.8069,89.6,37,40,11.5,scattered clouds
147,Megion,RU,2021-01-07 21:31:21,61.0296,76.1136,-13.0,77,0,6.71,clear sky
148,Kirakira,SB,2021-01-07 21:31:21,-10.4544,161.9205,86.38,64,100,3.2,light rain
149,Ayna,PE,2021-01-07 21:31:21,-12.65,-73.9167,59.59,81,99,0.98,overcast clouds
150,Peleduy,RU,2021-01-07 21:31:21,59.6289,112.7406,-2.51,89,100,13.91,light snow
151,Buraydah,SA,2021-01-07 21:31:21,26.326,43.975,53.6,100,75,3.44,light rain
152,Fairbanks,US,2021-01-07 21:30:02,64.8378,-147.7164,3.2,78,75,1.88,broken clouds
153,Vardo,NO,2021-01-07 21:31:22,70.3705,31.1107,15.8,86,20,14.97,few clouds
154,Celestun,MX,2021-01-07 21:31:22,20.8667,-90.4,76.1,79,100,10.65,overcast clouds
155,Campbell River,CA,2021-01-07 21:29:19,50.0163,-125.2446,45.0,93,75,11.5,mist
156,Sioux Lookout,CA,2021-01-07 21:31:23,50.1001,-91.917,26.6,80,20,10.36,few clouds
