City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
172,Porto Novo,BJ,82.4,few clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
174,Cockburn Town,TC,76.15,few clouds,21.4612,-71.1419,Osprey Beach Hotel
178,Mananjary,MG,76.26,light rain,-21.2167,48.3333,Vahiny Lodge
182,Bambous Virieux,MU,77.0,scattered clouds,-20.3428,57.7575,Casa Tia Villa
183,Makakilo City,US,82.4,scattered clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
193,Wiang Sa,TH,78.01,light rain,8.6359,99.3666,ชำนาญอินน์
201,The Valley,AI,80.6,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
202,Geraldton,AU,77.0,clear sky,-28.7667,114.6,Broadwater Mariner Resort
204,Canavieiras,BR,84.2,clear sky,-15.675,-38.9472,Bahiadomizil
206,Caravelas,BR,76.91,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
208,Padang,ID,78.53,light rain,-0.9492,100.3543,Mercure Padang
209,Vila Velha,BR,84.99,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
213,Mahebourg,MU,77.0,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
216,Toumodi,CI,77.0,scattered clouds,6.5613,-5.0158,Hotel Akanza
224,Lagos,NG,80.6,few clouds,6.5833,3.75,
226,Daru,PG,80.53,light rain,-9.0763,143.2092,Daru Lodge
229,Mali,GN,87.8,clear sky,12.079,-12.2982,Hotel La Dame de Mali
235,Rocha,UY,79.16,scattered clouds,-34.4833,-54.3333,Beleza Pura B&B
238,Tautira,PF,87.8,few clouds,-17.7333,-149.15,Pension Oaoa
240,Taoudenni,ML,77.47,overcast clouds,22.6783,-3.9836,
241,Pangani,TZ,76.71,broken clouds,-5.4333,38.9667,Sea Side Community Hostel
242,Nilai,MY,78.8,few clouds,2.8169,101.7956,New Wave Hotel Nilai 1/19
259,Piacabucu,BR,78.71,clear sky,-10.4056,-36.4344,Piaçabuçu News
265,Sulangan,PH,79.54,moderate rain,11.1373,123.7228,Maia's Beach Resort
270,Buchanan,LR,78.8,scattered clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
274,Arauca,CO,79.36,light rain,7.0847,-70.7591,Hotel Verano Plaza
276,Kavieng,PG,83.25,moderate rain,-2.5744,150.7967,Nusa Island Retreat
277,La Libertad,EC,82.4,clear sky,-2.2333,-80.9,Playa Canela Hotel Boutique
279,Champerico,GT,86.0,broken clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
281,Chimore,BO,81.77,light rain,-16.9833,-65.1333,Bichito
283,Kerema,PG,80.8,overcast clouds,-7.9631,145.7785,Frena Lodge
284,Terra Nova,BR,89.6,clear sky,-12.3667,-40.6667,
289,Imbituba,BR,77.0,clear sky,-28.24,-48.6703,Praia Hotel Imbituba
291,Kismayo,SO,77.13,few clouds,-0.3582,42.5454,Agan-Hotel
300,Oussouye,SN,78.8,clear sky,12.485,-16.5469,Auberge du Routard
302,Rangkasbitung,ID,80.01,few clouds,-6.3591,106.2494,Hotel Bumi Katineung
